,Product Description,Best Desc. Match,Brand,Best Brand Match,Desc. Match Score,Brand Match Score
15728,Disney Mickey Mouse Mickey’s Fire Engine ,Disney Mickey Mouse Flying figure,Disney ,Disney,70.27027027027026,92.3076923076923
15883,Littles Tikes Princess carriage blue ,Little Tikes Princess Cozy Coupe,Little Tikes ,Little Tikes,72.46376811594203,96.0
16167,Barbie camper van.,Barbie Stamper Set,Fisher price,Fisher Price,72.22222222222221,91.66666666666666
20258,Fisher - Price Little People Take Turns Skyway - Brand In Box,Fisher Price Little People Tube - Cats and Dogs,Fisher Price,Fisher Price,70.37037037037037,100.0
20366,Stroller,Swift Stroller,Baby Trend,Baby Trend,72.72727272727273,100.0
21211,Stroller,Swift Stroller,Vista,Fiesta,72.72727272727273,72.72727272727273
22761,Red Elmo Plush Toy,Red Fox Plush,Sesame Street,Sesame Street,70.96774193548387,100.0
22807,Animal Train Puzzle,Magnif Brain Puzzler,Orange Tree Toys,Orange Tree Toys,71.7948717948718,100.0
22994,Hot Wheels Track Builder System  ,Hot Wheels Track Curve,Hot Wheels,Hot Wheels,72.72727272727273,100.0
23368,Hula Hair Barbie,1996 Hula Hair Barbie,Barbie,Barbie,86.48648648648648,100.0
23426,Radio Flyer 10” Classic Red Tricycle,Radio Flyer Classic Red Scooter,Radio Flyer,Radio Flyer,77.61194029850746,100.0
24492,Magnetic board set,Magnetic Whiteboard,unknown,unknown,75.67567567567568,100.0
24634,"Black & Decker
Junior Tool Belt Set",Black &amp; Decker Junior Tools Set: Sander,Black & Decker,Black & Decker,78.48101265822784,100.0
24653,Remote control car,Remote Control Mustang,Horizon Hobby,Horizon Hobby,75.0,100.0
24700,Snoopy SnoCone Machine,Snoopy Sno Cone Machine,Cra-Z-Art,Cra-Z-Art,97.77777777777777,100.0
